original_product_url,product_name,size,color_image,colors,description,gender,images,original_price,sale_price,special_offer,brand,website_name,website_domain
https://www.pacsun.com/la-hearts/bubble-sleeve-pullover-sweatshirt-0751600120007.html?country=IN,LA Hearts Bubble Sleeve Pullover Sweatshirt,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['YELLOW'],Fleece lining Crew neckline Long sleeves Cropped length Dropped shoulders Model is wearing a small,women,[''],"INR 2,852.00","Now INR 2,151.00",Take 17% Off With Code 17OFF,LA Hearts,pacsun,www.pacsun.com
https://www.pacsun.com/john-galt/butterfly-hoodie-0751454500317.html?country=IN,John Galt Butterfly Hoodie,['1SZ   SIZE'],None,['WHITE'],Drawcord hood Long sleeves Butterfly embroidery Kangaroo pocket Machine washable,women,[''],"INR 2,856.00",,,John Galt,pacsun,www.pacsun.com
https://www.pacsun.com/smokey-forest-babes-crew-neck-sweatshirt-0751512830022.html?country=IN,Smokey Forest Babes Crew Neck Sweatshirt,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BROWN'],Solid color sweatshirt Custom graphics Crew neck Long sleeves Ribbed cuffs Machine washable,women,[''],"INR 3,264.00",,Take 17% Off With Code 17OFF,Pacsun,pacsun,www.pacsun.com
https://www.pacsun.com/desert-dreamer/indiana-racing-crew-neck-sweatshirt-0751512830023.html?country=IN,Desert Dreamer Indiana Racing Crew Neck Sweatshirt,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['E. HEATHER GREY'],Long sleeves Crew neck Custom graphics Machine washable,women,[''],"INR 2,774.00",,Take 17% Off With Code 17OFF,Desert Dreamer,pacsun,www.pacsun.com
https://www.pacsun.com/playboy/bunny-cropped-crew-neck-sweatshirt-0751250500218.html?country=IN,Playboy Bunny Cropped Crew Neck Sweatshirt,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['E. HEATHER GREY'],"Fleece lining Crew neckline Short sleeves Raw cut hems Logo embroidery Cropped length Model is wearing a small 60% cotton, 40% polyester Machine washable",women,[''],"INR 2,199.00",,,Playboy,pacsun,www.pacsun.com
https://www.pacsun.com/john-galt/los-angeles-half-zip-sweatshirt-0751454500189.html?country=IN,John Galt Los Angeles Half Zip Sweatshirt,['1SZ   SIZE'],None,['NAVY'],"Pullover sweatshirt Half zip front closure Embroidered frotn detail Long sleeves Ribbed trimming 60% cotton, 30% polyester, 10% viscose Machine washable",women,[''],"INR 3,672.00",,,John Galt,pacsun,www.pacsun.com
https://www.pacsun.com/john-galt/archer-sweatshirt-0751454500335.html?country=IN,John Galt Archer Sweatshirt,['1SZ   SIZE'],None,['BLACK'],Cotton blend Two side pockets 1/4 button placket Long sleeves Classic collar Oversized fit,women,[''],"INR 2,938.00",,,John Galt,pacsun,www.pacsun.com
https://www.pacsun.com/ps-%2F-la/pacific-sunwear-waves-sweatshirt-0751519630011.html?country=IN,PS / LA Pacific Sunwear Waves Sweatshirt,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BLACK'],"Crew neckline Long sleeves Graphic at left chest and back Model is wearing a small 50% cotton, 50% polyester Machine washable",women,[''],"INR 3,260.00",,Take 17% Off With Code 17OFF,PS / LA,pacsun,www.pacsun.com
https://www.pacsun.com/stay-golden-smiley-hoodie-0751512830021.html?country=IN,Stay Golden Smiley Hoodie,"['XS    SIZE', 'SML   SIZE']",None,['WHITE'],Solid color sweatshirt Custom graphics Crew neck Long sleeves Ribbed cuffs Drawstring adjustable hood Machine washable,women,[''],"INR 3,917.00",,Take 17% Off With Code 17OFF,Pacsun,pacsun,www.pacsun.com
https://www.pacsun.com/john-galt/colorblocked-hoodie-0751454500334.html?country=IN,John Galt Colorblocked Hoodie,['1SZ   SIZE'],None,['MULTI'],Colorblocked hoodie Kangaroo pocket Long sleeves Adjustable drawstring hood Heavyweight fabrication Machine washable,women,[''],"INR 3,672.00",,,John Galt,pacsun,www.pacsun.com
